Owner,Vehicle Type,Vehicle Number,Vehicle Status,Facility,Location,Load,Yard Dwell Time,Location Dwell Time
BIDH,Trailer,G001153,Empty,AUS5,PS550,,"3 day(s), 14 hour(s), 22 minute(s)","3 day(s), 13 hour(s), 17 minute(s)"
BIDH,Trailer,7322907,Empty,AUS5,PS852,,"3 day(s), 14 hour(s), 19 minute(s)","3 day(s), 13 hour(s), 23 minute(s)"
BIDH,Trailer,7327754,Empty,MKE2,PS720B,,"3 day(s), 14 hour(s), 9 minute(s)","2 day(s), 4 hour(s), 35 minute(s)"
BIDH,Trailer,KL039152,Empty,TPAA,PS538,,"3 day(s), 14 hour(s), 0 minute(s)","2 day(s), 19 hour(s), 41 minute(s)"
BIDH,Trailer,7328663,Empty,MQJ5,PS861,,"3 day(s), 14 hour(s), 50 minute(s)","3 day(s), 14 hour(s), 50 minute(s)"
BIDH,Trailer,BLOO39,Empty,PDXB,PS265,,"3 day(s), 12 hour(s), 6 minute(s)","2 day(s), 17 hour(s), 24 minute(s)"
BIDH,Trailer,W05474,Empty,HBF5,Offsite Yard,,"2 day(s), 11 hour(s), 3 minute(s)","2 day(s), 11 hour(s), 3 minute(s)"
BIDH,Trailer,1931401PLA,Empty,HBF5,Offsite Yard,,"2 day(s), 11 hour(s), 2 minute(s)","1 day(s), 14 hour(s), 59 minute(s)"
BIDH,Trailer,2335230PLA,Empty,JAX7,PS611-3P Empty,,"2 day(s), 11 hour(s), 32 minute(s)","2 day(s), 11 hour(s), 32 minute(s)"
BIDH,Trailer,HT368580,Empty,RICB,PS448,,"2 day(s), 10 hour(s), 5 minute(s)","2 day(s), 22 hour(s), 38 minute(s)"
APAAG,Trailer,53153,Empty,HBF5,Offsite Yard,,"2 day(s), 10 hour(s), 54 minute(s)","1 day(s), 14 hour(s), 60 minute(s)"
APAAG,Trailer,BL0012,Empty,HBF5,Offsite Yard,,"2 day(s), 10 hour(s), 39 minute(s)","2 day(s), 15 hour(s), 11 minute(s)"
BIDH,Trailer,7328735,Empty,HLAA,KRB4 Offsite,,"2 day(s), 9 hour(s), 20 minute(s)","2 day(s), 14 hour(s), 18 minute(s)"
BIDH,Trailer,7328388,Empty,HSFA,PS67,,"2 day(s), 9 hour(s), 4 minute(s)","1 day(s), 5 hour(s), 13 minute(s)"
BIDH,Skirted Trailer,W91893,Empty,AUS5,PS560,,"2 day(s), 9 hour(s), 58 minute(s)","2 day(s), 16 hour(s), 51 minute(s)"
BIDH,Trailer,7327631,Not empty,HMWA,DD105,"VR_ID 115Z6JXFB
ISA 67686008984","2 day(s), 9 hour(s), 57 minute(s)","2 day(s), 3 hour(s), 27 minute(s)"
APAAG,Skirted Trailer,W98383,Empty,HBF5,Offsite Yard,,"2 day(s), 9 hour(s), 42 minute(s)","1 day(s), 14 hour(s), 1 minute(s)"
BIDH,Trailer,28953,Empty,ICT2,PS497,,"2 day(s), 8 hour(s), 12 minute(s)","2 day(s), 20 hour(s), 4 minute(s)"
BIDH,Trailer,7323382,Not empty,AUS3,PS632,"VR_ID 116B7G714
ISA 66662009973","2 day(s), 8 hour(s), 8 minute(s)","2 day(s), 8 hour(s), 8 minute(s)"
BIDH,Skirted Trailer,GD3776,Empty,COS5,PS793,,"2 day(s), 8 hour(s), 53 minute(s)","2 day(s), 15 hour(s), 58 minute(s)"
BIDH,Skirted Trailer,U90002,Empty,TTNA,PS468,,"2 day(s), 7 hour(s), 24 minute(s)","2 day(s), 20 hour(s), 18 minute(s)"
BIDH,Trailer,154846,Empty,DTW3,PS516,,"2 day(s), 7 hour(s), 8 minute(s)","2 day(s), 21 hour(s), 38 minute(s)"
BIDH,Trailer,536025,Empty,HGRA,PS585,,"2 day(s), 7 hour(s), 39 minute(s)","2 day(s), 21 hour(s), 35 minute(s)"
APAAG,Trailer,5622272,Empty,HBF5,Offsite Yard,,"2 day(s), 4 hour(s), 58 minute(s)","2 day(s), 18 hour(s), 6 minute(s)"
BIDH,Skirted Trailer,BL0011,Empty,AUS5,PS549,,"2 day(s), 4 hour(s), 41 minute(s)","2 day(s), 22 hour(s), 31 minute(s)"
BIDH,Skirted Trailer,7322591,Empty,MKC6,PS385,,"2 day(s), 2 hour(s), 25 minute(s)","2 day(s), 22 hour(s), 0 minute(s)"
BIDH,Trailer,1932537PLA,Empty,DFW7,IB406,,"2 day(s), 2 hour(s), 0 minute(s)","2 day(s), 2 hour(s), 0 minute(s)"
APAAG,Trailer,PTLZ201356,Empty,HBF5,Offsite Yard,,"2 day(s), 2 hour(s), 37 minute(s)","2 day(s), 18 hour(s), 9 minute(s)"
BIDH,Skirted Trailer,W91897,Empty,HLA6,DD312,,"2 day(s), 1 hour(s), 56 minute(s)","1 day(s), 4 hour(s), 49 minute(s)"
BIDH,Skirted Trailer,W16518,Empty,TPAA,PS550,,"2 day(s), 24 hour(s), 53 minute(s)","2 day(s), 17 hour(s), 8 minute(s)"
BIDH,Trailer,7327690,Empty,MTN9,PS506,,"2 day(s), 23 hour(s), 24 minute(s)","2 day(s), 20 hour(s), 22 minute(s)"
BIDH,Trailer,7324682,Empty,SAT5,306,,"2 day(s), 20 hour(s), 25 minute(s)","1 day(s), 10 hour(s), 53 minute(s)"
CPWP,Skirted Trailer,532335,Not empty,DEN8,DD137,VR_ID 11448TN3Z,"2 day(s), 20 hour(s), 32 minute(s)","11 hour(s), 13 minute(s)"
BIDH,Trailer,PTLZ 202593,Empty,SAT1,PS381,,"2 day(s), 19 hour(s), 24 minute(s)","2 day(s), 19 hour(s), 24 minute(s)"
BIDH,Trailer,7328443,Empty,RDU1,PS616,,"2 day(s), 17 hour(s), 17 minute(s)","2 day(s), 17 hour(s), 17 minute(s)"
BIDH,Skirted Trailer,1637740PLA,Empty,COS5,PS792,,"2 day(s), 16 hour(s), 16 minute(s)","1 day(s), 10 hour(s), 50 minute(s)"
BIDH,Trailer,7324287,Empty,HSFA,PS68,,"2 day(s), 16 hour(s), 41 minute(s)","1 day(s), 6 hour(s), 55 minute(s)"
BIDH,Trailer,535138,Empty,TPAA,PS543,,"2 day(s), 15 hour(s), 15 minute(s)","1 day(s), 19 hour(s), 54 minute(s)"
BIDH,Trailer,7321815,Not empty,HMWA,DD106,"VR_ID 1134MMVW9
ISA 67766008984","2 day(s), 13 hour(s), 41 minute(s)","2 day(s), 13 hour(s), 41 minute(s)"
